dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	nj-hamming	31	1	unitig	0	605771	0
ngono-spneumo	nj-hamming	31	316	kmer	73329847	86402738	73371468
ngono-spneumo	nj-hamming	31	316	uniqrow	4436079	4776890	4438010
ngono-spneumo	nj-hamming	31	316	unitig	5371890	5977661	5373392
ngono-spneumo	nj-hamming	31	32	kmer	19606611	32679502	23753906
ngono-spneumo	nj-hamming	31	32	uniqrow	1264826	1605637	1282364
ngono-spneumo	nj-hamming	31	32	unitig	1540797	2146568	1620848
ngono-spneumo	nj-hamming	31	3	kmer	5776637	18849528	9852478
ngono-spneumo	nj-hamming	31	3	uniqrow	220365	561176	382452
ngono-spneumo	nj-hamming	31	3	unitig	330879	936650	574392
ngono-spneumo	optimal	31	1000	kmer	106879797	119952688	111073484
ngono-spneumo	optimal	31	1000	uniqrow	6969719	7310530	7131046
ngono-spneumo	optimal	31	1000	unitig	8344963	8950734	8590282
ngono-spneumo	optimal	31	100	kmer	35849415	48922306	40116664
ngono-spneumo	optimal	31	100	uniqrow	2157136	2497947	2315050
ngono-spneumo	optimal	31	100	unitig	2607983	3213754	2848212
ngono-spneumo	optimal	31	10	kmer	10075307	23148198	14286032
ngono-spneumo	optimal	31	10	uniqrow	500227	841038	666520
ngono-spneumo	optimal	31	10	unitig	660112	1265883	909564
ngono-spneumo	optimal	31	1	kmer	0	13072891	0
ngono-spneumo	optimal	31	1	uniqrow	0	340811	0
ngono-spneumo	optimal	31	1	unitig	0	605771	0
ngono-spneumo	optimal	31	316	kmer	64908903	77981794	69140174
ngono-spneumo	optimal	31	316	uniqrow	4047350	4388161	4204504
ngono-spneumo	optimal	31	316	unitig	4852470	5458241	5089126
ngono-spneumo	optimal	31	32	kmer	19282570	32355461	23501358
ngono-spneumo	optimal	31	32	uniqrow	1101798	1442609	1263462
ngono-spneumo	optimal	31	32	unitig	1361713	1967484	1608236
ngono-spneumo	optimal	31	3	kmer	5688006	18760897	9852478
ngono-spneumo	optimal	31	3	uniqrow	220365	561176	382452
ngono-spneumo	optimal	31	3	unitig	330879	936650	574392
ngono-spneumo	randomized	31	1000	kmer	2470663979	2483736870	2471703168
ngono-spneumo	randomized	31	1000	uniqrow	103655340	103996151	103722798
ngono-spneumo	randomized	31	1000	unitig	150204337	150810108	150282842
ngono-spneumo	randomized	31	100	kmer	252087108	265159999	256279714
ngono-spneumo	randomized	31	100	uniqrow	10591219	10932030	10756662
ngono-spneumo	randomized	31	100	unitig	15323684	15929455	15572734
ngono-spneumo	randomized	31	10	kmer	25376172	38449063	29540644
ngono-spneumo	randomized	31	10	uniqrow	1096124	1436935	1234064
ngono-spneumo	randomized	31	10	unitig	1566946	2172717	1790158
ngono-spneumo	randomized	31	1	kmer	0	13072891	0
ngono-spneumo	randomized	31	1	uniqrow	0	340811	0
ngono-spneumo	randomized	31	1	unitig	0	605771	0
ngono-spneumo	randomized	31	316	kmer	780462913	793535804	784541168
ngono-spneumo	randomized	31	316	uniqrow	32718715	33059526	32883034
ngono-spneumo	randomized	31	316	unitig	47395448	48001219	47641388
ngono-spneumo	randomized	31	32	kmer	67592386	80665277	71708854
ngono-spneumo	randomized	31	32	uniqrow	2941284	3282095	3101208
ngono-spneumo	randomized	31	32	unitig	4174926	4780697	4417706
ngono-spneumo	randomized	31	3	kmer	5688006	18760897	9852478
ngono-spneumo	randomized	31	3	uniqrow	244512	585323	382452
ngono-spneumo	randomized	31	3	unitig	351180	956951	574392
ngono-spneumo	upgma-attotree	31	1000	kmer	117015218	130088109	121075202
ngono-spneumo	upgma-attotree	31	1000	uniqrow	7587006	7927817	7747066
ngono-spneumo	upgma-attotree	31	1000	unitig	9070277	9676048	9311822
ngono-spneumo	upgma-attotree	31	100	kmer	37804046	50876937	41981084
ngono-spneumo	upgma-attotree	31	100	uniqrow	2250057	2590868	2409570
ngono-spneumo	upgma-attotree	31	100	unitig	2718970	3324741	2961210
ngono-spneumo	upgma-attotree	31	10	kmer	10247808	23320699	14350536
ngono-spneumo	upgma-attotree	31	10	uniqrow	505659	846470	669900
ngono-spneumo	upgma-attotree	31	10	unitig	665792	1271563	912022
ngono-spneumo	upgma-attotree	31	1	kmer	0	13072891	0
ngono-spneumo	upgma-attotree	31	1	uniqrow	0	340811	0
ngono-spneumo	upgma-attotree	31	1	unitig	0	605771	0
ngono-spneumo	upgma-attotree	31	316	kmer	70075973	83148864	74164788
ngono-spneumo	upgma-attotree	31	316	uniqrow	4344604	4685415	4504388
ngono-spneumo	upgma-attotree	31	316	unitig	5199073	5804844	5440316
ngono-spneumo	upgma-attotree	31	32	kmer	19750911	32823802	23960396
ngono-spneumo	upgma-attotree	31	32	uniqrow	1122804	1463615	1289368
ngono-spneumo	upgma-attotree	31	32	unitig	1385488	1991259	1636598
ngono-spneumo	upgma-attotree	31	3	kmer	5776637	18849528	9852478
ngono-spneumo	upgma-attotree	31	3	uniqrow	220365	561176	382452
ngono-spneumo	upgma-attotree	31	3	unitig	330879	936650	574392
ngono-spneumo	upgma-hamming	31	1000	kmer	116936652	130009543	121049346
ngono-spneumo	upgma-hamming	31	1000	uniqrow	7522944	7863755	7681716
ngono-spneumo	upgma-hamming	31	1000	unitig	9000557	9606328	9241152
ngono-spneumo	upgma-hamming	31	100	kmer	37715642	50788533	41892680
ngono-spneumo	upgma-hamming	31	100	uniqrow	2248765	2589576	2408278
ngono-spneumo	upgma-hamming	31	100	unitig	2720240	3326011	2962480
ngono-spneumo	upgma-hamming	31	10	kmer	10247808	23320699	14350536
ngono-spneumo	upgma-hamming	31	10	uniqrow	505659	846470	669900
ngono-spneumo	upgma-hamming	31	10	unitig	665792	1271563	912022
ngono-spneumo	upgma-hamming	31	1	kmer	0	13072891	0
ngono-spneumo	upgma-hamming	31	1	uniqrow	0	340811	0
ngono-spneumo	upgma-hamming	31	1	unitig	0	605771	0
ngono-spneumo	upgma-hamming	31	316	kmer	69843477	82916368	73932292
ngono-spneumo	upgma-hamming	31	316	uniqrow	4282856	4623667	4443090
ngono-spneumo	upgma-hamming	31	316	unitig	5128657	5734428	5370938
ngono-spneumo	upgma-hamming	31	32	kmer	19854357	32927248	24063842
ngono-spneumo	upgma-hamming	31	32	uniqrow	1117692	1458503	1284256
ngono-spneumo	upgma-hamming	31	32	unitig	1386012	1991783	1637122
ngono-spneumo	upgma-hamming	31	3	kmer	5776637	18849528	9852478
ngono-spneumo	upgma-hamming	31	3	uniqrow	220365	561176	382452
ngono-spneumo	upgma-hamming	31	3	unitig	330879	936650	574392
ngono-spneumo	worst	31	1000	kmer	4123891033	4136963924	4127879760
ngono-spneumo	worst	31	1000	uniqrow	161487871	161828682	161622816
ngono-spneumo	worst	31	1000	unitig	243980403	244586174	244199752
ngono-spneumo	worst	31	100	kmer	401674800	414747691	402641650
ngono-spneumo	worst	31	100	uniqrow	15848167	16188978	15917790
ngono-spneumo	worst	31	100	unitig	23849118	24454889	23933348
ngono-spneumo	worst	31	10	kmer	29322603	42395494	30361228
ngono-spneumo	worst	31	10	uniqrow	1228212	1569023	1297570
ngono-spneumo	worst	31	10	unitig	1789727	2395498	1865804
ngono-spneumo	worst	31	1	kmer	0	13072891	0
ngono-spneumo	worst	31	1	uniqrow	0	340811	0
ngono-spneumo	worst	31	1	unitig	0	605771	0
