genome	count	k	order	type	tree_k	dataset	runs_type	n_runs	baseline	rel
diverse	1000	10	randomized	unique	single	diverse unique k10 n1000	matrix	141012143	141012143	1
diverse	1000	10	randomized	unique	single	diverse unique k10 n1000	indiv_rows	141536549	141536549	1
diverse	1000	10	randomized	unique	single	diverse unique k10 n1000	cylinder	141129310	141129310	1
diverse	1000	10	randomized	unitig	single	diverse unitig k10 n1000	matrix	138467964	138467964	1
diverse	1000	10	randomized	unitig	single	diverse unitig k10 n1000	indiv_rows	138992764	138992764	1
diverse	1000	10	randomized	unitig	single	diverse unitig k10 n1000	cylinder	138561718	138561718	1
diverse	1000	12	randomized	kmer	single	diverse kmer k12 n1000	matrix	2903753132	2903753132	1
diverse	1000	12	randomized	kmer	single	diverse kmer k12 n1000	indiv_rows	2912143788	2912143788	1
diverse	1000	12	randomized	kmer	single	diverse kmer k12 n1000	cylinder	2906413134	2906413134	1
diverse	1000	12	randomized	unique	single	diverse unique k12 n1000	matrix	2891275731	2891275731	1
diverse	1000	12	randomized	unique	single	diverse unique k12 n1000	indiv_rows	2899666371	2899666371	1
diverse	1000	12	randomized	unique	single	diverse unique k12 n1000	cylinder	2895233578	2895233578	1
diverse	1000	12	randomized	unitig	single	diverse unitig k12 n1000	matrix	2892617243	2892617243	1
diverse	1000	12	randomized	unitig	single	diverse unitig k12 n1000	indiv_rows	2901007899	2901007899	1
diverse	1000	12	randomized	unitig	single	diverse unitig k12 n1000	cylinder	2895345952	2895345952	1
diverse	1000	13	randomized	kmer	single	diverse kmer k13 n1000	matrix	5149751384	5149751384	1
diverse	1000	13	randomized	kmer	single	diverse kmer k13 n1000	indiv_rows	5183303405	5183303405	1
diverse	1000	13	randomized	kmer	single	diverse kmer k13 n1000	cylinder	5155188708	5155188708	1
diverse	1000	13	randomized	unique	single	diverse unique k13 n1000	matrix	5162528174	5162528174	1
diverse	1000	13	randomized	unique	single	diverse unique k13 n1000	indiv_rows	5196069247	5196069247	1
diverse	1000	13	randomized	unique	single	diverse unique k13 n1000	cylinder	5167487704	5167487704	1
diverse	1000	13	randomized	unitig	single	diverse unitig k13 n1000	matrix	5151733514	5151733514	1
diverse	1000	13	randomized	unitig	single	diverse unitig k13 n1000	indiv_rows	5185285533	5185285533	1
diverse	1000	13	randomized	unitig	single	diverse unitig k13 n1000	cylinder	5156904404	5156904404	1
diverse	1000	14	randomized	kmer	single	diverse kmer k14 n1000	matrix	6718421795	6718421795	1
diverse	1000	14	randomized	kmer	single	diverse kmer k14 n1000	indiv_rows	6851340164	6851340164	1
