dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	upgma-hamming	31	1000	unitig	112246362	146606507	112821188
diverse	upgma-hamming	31	100	kmer	769797913	3778865656	782127646
diverse	upgma-hamming	31	100	uniqrow	2149763	3600969	2215470
diverse	upgma-hamming	31	100	unitig	16964418	51324563	17609662
diverse	upgma-hamming	31	10	kmer	73205154	3082272897	83918252
diverse	upgma-hamming	31	10	uniqrow	162797	1614003	246762
diverse	upgma-hamming	31	10	unitig	1223846	35583991	1653404
diverse	upgma-hamming	31	158	kmer	1201212903	4210280646	1214744772
diverse	upgma-hamming	31	158	uniqrow	3125757	4576963	3191464
diverse	upgma-hamming	31	158	unitig	23913036	58273181	24558280
diverse	upgma-hamming	31	16	kmer	134646401	3143714144	147558382
diverse	upgma-hamming	31	16	uniqrow	360313	1811519	444278
diverse	upgma-hamming	31	16	unitig	2552449	36912594	3121592
diverse	upgma-hamming	31	1	kmer	0	3009067743	0
diverse	upgma-hamming	31	1	uniqrow	0	1451206	0
diverse	upgma-hamming	31	1	unitig	0	34360145	0
diverse	upgma-hamming	31	251	kmer	1892786066	4901853809	1908494090
diverse	upgma-hamming	31	251	uniqrow	4900989	6352195	4966696
diverse	upgma-hamming	31	251	unitig	39640888	74001033	40269306
diverse	upgma-hamming	31	25	kmer	215175534	3224243277	227228426
diverse	upgma-hamming	31	25	uniqrow	580964	2032170	646786
diverse	upgma-hamming	31	25	unitig	4536857	38897002	5084832
diverse	upgma-hamming	31	2	kmer	6545478	3015613221	13090956
diverse	upgma-hamming	31	2	uniqrow	64094	1515300	128188
diverse	upgma-hamming	31	2	unitig	379326	34739471	758652
diverse	upgma-hamming	31	398	kmer	2837679278	5846747021	2853387302
diverse	upgma-hamming	31	398	uniqrow	6705774	8156980	6756586
diverse	upgma-hamming	31	398	unitig	56492604	90852749	57067430
diverse	upgma-hamming	31	3	kmer	14484040	3023551783	21029518
diverse	upgma-hamming	31	3	uniqrow	65894	1517100	129988
diverse	upgma-hamming	31	3	unitig	437216	34797361	816542
diverse	upgma-hamming	31	40	kmer	328489476	3337557219	340542368
diverse	upgma-hamming	31	40	uniqrow	972244	2423450	1038066
diverse	upgma-hamming	31	40	unitig	7047703	41407848	7595678
diverse	upgma-hamming	31	4	kmer	23210548	3032278291	29756026
diverse	upgma-hamming	31	4	uniqrow	67214	1518420	131308
diverse	upgma-hamming	31	4	unitig	451176	34811321	830502
diverse	upgma-hamming	31	631	kmer	4269054272	7278122015	4284762296
diverse	upgma-hamming	31	631	uniqrow	9297722	10748928	9348444
diverse	upgma-hamming	31	631	unitig	81049846	115409991	81624672
diverse	upgma-hamming	31	63	kmer	499462311	3508530054	511719044
diverse	upgma-hamming	31	63	uniqrow	1380990	2832196	1446812
diverse	upgma-hamming	31	63	unitig	10520205	44880350	11068180
diverse	upgma-hamming	31	6	kmer	39353382	3048421125	45898860
diverse	upgma-hamming	31	6	uniqrow	74412	1525618	138506
diverse	upgma-hamming	31	6	unitig	522450	34882595	901776
diverse	worst	31	1000	kmer	8297418813	11306486556	8298014066
diverse	worst	31	1000	uniqrow	27764449	29215655	27764686
diverse	worst	31	1000	unitig	194554142	228914287	194555316
diverse	worst	31	100	kmer	816094321	3825162064	818484336
diverse	worst	31	100	uniqrow	2894966	4346172	2895672
diverse	worst	31	100	unitig	20277532	54637677	20280766
diverse	worst	31	10	kmer	78592928	3087660671	83921336
