dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	upgma-attotree	29	1000	unitig	117875740	157651153	117941056
diverse	upgma-attotree	31	1000	kmer	6250526235	9259593978	6261372102
diverse	upgma-attotree	31	1000	uniqrow	11812051	13263257	11814820
diverse	upgma-attotree	31	1000	unitig	99585839	133945964	99644524
diverse	upgma-hamming	13	1000	kmer	3253837605	3287389626	3262483172
diverse	upgma-hamming	13	1000	uniqrow	3253810997	3287352070	3262456484
diverse	upgma-hamming	13	1000	unitig	3253837601	3287389620	3262483168
diverse	upgma-hamming	15	1000	kmer	5404978129	5868657588	5418794654
diverse	upgma-hamming	15	1000	uniqrow	4740233141	5014033060	4752332752
diverse	upgma-hamming	15	1000	unitig	5393056945	5853280584	5406853032
diverse	upgma-hamming	17	1000	kmer	5948698676	7760366120	5963786770
diverse	upgma-hamming	17	1000	uniqrow	1613327740	1758780052	1619080334
diverse	upgma-hamming	17	1000	unitig	4666381187	5900846165	4679266666
diverse	upgma-hamming	19	1000	kmer	6107518708	8690046573	6123089516
diverse	upgma-hamming	19	1000	uniqrow	302519265	333924810	303681930
diverse	upgma-hamming	19	1000	unitig	1778148824	2357429374	1784587790
diverse	upgma-hamming	21	1000	kmer	6178942732	8985545523	6194600758
diverse	upgma-hamming	21	1000	uniqrow	72256534	80020482	72542582
diverse	upgma-hamming	21	1000	unitig	540678512	720095390	542629638
diverse	upgma-hamming	23	1000	kmer	6227742643	9106496752	6243422674
diverse	upgma-hamming	23	1000	uniqrow	44814764	49386746	44977528
diverse	upgma-hamming	23	1000	unitig	263440728	342097371	264514250
diverse	upgma-hamming	25	1000	kmer	6264819975	9186344594	6280510850
diverse	upgma-hamming	25	1000	uniqrow	29322163	32343487	29446926
diverse	upgma-hamming	25	1000	unitig	183343543	236942673	184168952
diverse	upgma-hamming	27	1000	kmer	6297126534	9252698238	6312824718
diverse	upgma-hamming	27	1000	uniqrow	19872243	21993588	19957682
diverse	upgma-hamming	27	1000	unitig	147362225	192297117	148054646
diverse	upgma-hamming	29	1000	kmer	6327894552	9311777824	6343598194
diverse	upgma-hamming	29	1000	uniqrow	17967828	19883011	18046474
diverse	upgma-hamming	29	1000	unitig	133597371	173372784	134250556
diverse	upgma-hamming	31	1000	kmer	6359465676	9368533419	6375173700
diverse	upgma-hamming	31	1000	uniqrow	13235822	14687028	13286544
diverse	upgma-hamming	31	1000	unitig	112246322	146606447	112821148
diverse	worst	13	1000	kmer	5691434083	5724986104	5692001814
diverse	worst	13	1000	uniqrow	5691397722	5724938795	5691965434
diverse	worst	13	1000	unitig	5691435097	5724987116	5692002828
diverse	worst	15	1000	kmer	7754957498	8218636957	7755548446
diverse	worst	15	1000	uniqrow	6926203298	7200003217	6926741588
diverse	worst	15	1000	unitig	7744115908	8204339547	7744706130
diverse	worst	17	1000	kmer	8184328086	9995995530	8184921944
diverse	worst	17	1000	uniqrow	2389745192	2535197504	2389908372
diverse	worst	17	1000	unitig	6486713014	7721177992	6487176268
diverse	worst	19	1000	kmer	8258312086	10840839951	8258906528
diverse	worst	19	1000	uniqrow	474636078	506041623	474649838
diverse	worst	19	1000	unitig	2494763732	3074044282	2494927250
diverse	worst	21	1000	uniqrow	129526161	137290109	129529424
diverse	worst	21	1000	unitig	810415528	989832406	810439252
diverse	worst	23	1000	kmer	8282126154	11160880263	8282721004
diverse	worst	23	1000	uniqrow	86970062	91542044	86971542
diverse	worst	23	1000	unitig	437436447	516093090	437444390
diverse	worst	25	1000	kmer	8287161858	11208686477	8287756848
diverse	worst	25	1000	uniqrow	58031475	61052799	58032226
diverse	worst	25	1000	unitig	312869138	366468268	312872778
diverse	worst	27	1000	kmer	8291195319	11246767023	8291790420
diverse	worst	27	1000	uniqrow	40271410	42392755	40271870
diverse	worst	27	1000	unitig	253125872	298060764	253128252
diverse	worst	29	1000	kmer	8294551306	11278434578	8295146494
diverse	worst	29	1000	uniqrow	36802455	38717638	36802794
diverse	worst	29	1000	unitig	230273941	270049354	230275572
diverse	worst	31	1000	kmer	8297417823	11306485566	8298013076
diverse	worst	31	1000	uniqrow	27764387	29215593	27764624
diverse	worst	31	1000	unitig	194554114	228914239	194555288
ngono-spneumo	nj-attotree	11	1000	kmer	19700878	21500227	19701506
ngono-spneumo	nj-attotree	11	1000	uniqrow	13805217	14389749	13805708
ngono-spneumo	nj-attotree	11	1000	unitig	19570386	21355921	19571008
ngono-spneumo	nj-attotree	13	1000	kmer	67777305	74666973	67779378
ngono-spneumo	nj-attotree	13	1000	uniqrow	18036802	18842124	18037498
ngono-spneumo	nj-attotree	13	1000	unitig	48223847	52907404	48225286
ngono-spneumo	nj-attotree	15	1000	kmer	85483150	94799544	85486048
ngono-spneumo	nj-attotree	15	1000	uniqrow	8483436	8868362	8483890
ngono-spneumo	nj-attotree	15	1000	unitig	19935318	21786594	19936122
ngono-spneumo	nj-attotree	17	1000	kmer	92037092	102081454	92040400
ngono-spneumo	nj-attotree	17	1000	uniqrow	7079175	7392168	7079604
ngono-spneumo	nj-attotree	17	1000	unitig	10435824	11234404	10436384
ngono-spneumo	nj-attotree	19	1000	kmer	97093460	107615665	97097114
ngono-spneumo	nj-attotree	19	1000	uniqrow	7088322	7398722	7088760
ngono-spneumo	nj-attotree	19	1000	unitig	9299729	9955247	9300264
ngono-spneumo	nj-attotree	21	1000	kmer	101850153	112814395	101854160
ngono-spneumo	nj-attotree	21	1000	uniqrow	7150814	7462670	7151274
ngono-spneumo	nj-attotree	21	1000	unitig	9130171	9756777	9130734
ngono-spneumo	nj-attotree	23	1000	kmer	106408149	117801995	106412500
ngono-spneumo	nj-attotree	23	1000	uniqrow	7414127	7735923	7414604
