dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	optimal	11	1000	unitig	467094971	469192123	468095648
diverse	optimal	12	1000	kmer	1591245186	1599635842	1594940754
diverse	optimal	12	1000	uniqrow	1591244830	1599635470	1594940398
diverse	optimal	12	1000	unitig	1591245534	1599636190	1594941102
diverse	optimal	13	1000	kmer	3095813263	3129365284	3105380256
diverse	optimal	13	1000	uniqrow	3095788707	3129329780	3105355626
diverse	optimal	13	1000	unitig	3095813947	3129365966	3105380940
diverse	optimal	14	1000	kmer	4324538503	4457456872	4339576926
diverse	optimal	14	1000	uniqrow	4300832847	4426473343	4315778388
diverse	optimal	14	1000	unitig	4324508410	4457414553	4339546768
diverse	optimal	15	1000	kmer	5102153796	5565833255	5120211598
diverse	optimal	15	1000	uniqrow	4475059508	4748859421	4490715656
diverse	optimal	15	1000	unitig	5094122526	5554346165	5112155120
diverse	optimal	17	1000	kmer	5736221567	7547889011	5758351236
diverse	optimal	17	1000	uniqrow	1508079688	1653531995	1516777844
diverse	optimal	17	1000	unitig	4486763200	5721228175	4505561404
diverse	optimal	19	1000	kmer	5912066214	8494594079	5935469852
diverse	optimal	19	1000	uniqrow	272993391	304398938	275094272
diverse	optimal	19	1000	unitig	1682153995	2261434839	1692723498
diverse	optimal	20	1000	kmer	5956238191	8685292745	5979800288
diverse	optimal	20	1000	uniqrow	127800757	143058688	128819168
diverse	optimal	20	1000	unitig	915704684	1240173909	922107206
diverse	optimal	22	1000	kmer	6022010511	8871381801	6045676872
diverse	optimal	22	1000	uniqrow	46864937	52443086	47223722
diverse	optimal	22	1000	unitig	312173125	420417340	314604362
diverse	optimal	23	1000	kmer	6049544106	8928298215	6073230790
diverse	optimal	23	1000	uniqrow	38994512	43566502	39306128
diverse	optimal	23	1000	unitig	234077866	312734500	236010950
diverse	optimal	24	1000	kmer	6075813216	8978222060	6099514494
diverse	optimal	24	1000	uniqrow	27053935	30308747	27274738
diverse	optimal	24	1000	unitig	180526429	242586271	182083346
diverse	optimal	25	1000	kmer	6099069354	9020593973	6122781350
diverse	optimal	25	1000	uniqrow	25250364	28271712	25485028
diverse	optimal	25	1000	unitig	159589285	213188978	161052112
diverse	optimal	26	1000	kmer	6121488614	9060528998	6145209484
diverse	optimal	26	1000	uniqrow	23277186	26070756	23498642
diverse	optimal	26	1000	unitig	148347532	198119037	149753436
diverse	optimal	27	1000	kmer	6143197705	9098769409	6166926228
diverse	optimal	27	1000	uniqrow	17155405	19276768	17304372
diverse	optimal	27	1000	unitig	128827232	173762226	130093732
diverse	optimal	28	1000	kmer	6162822687	9132901939	6186557534
diverse	optimal	28	1000	uniqrow	16456375	18488441	16605320
diverse	optimal	28	1000	unitig	120545010	162052116	121792424
diverse	optimal	29	1000	kmer	6181852628	9165735900	6205592862
diverse	optimal	29	1000	uniqrow	15447625	17362814	15591712
diverse	optimal	29	1000	unitig	115237264	155012777	116449524
diverse	optimal	30	1000	kmer	6200392614	9197571990	6224137766
diverse	optimal	30	1000	uniqrow	11771651	13271509	11892828
diverse	optimal	30	1000	unitig	102818993	139530517	103925286
diverse	optimal	31	1000	kmer	6217336907	9226404650	6241086194
diverse	optimal	31	1000	uniqrow	11411752	12862955	11532436
diverse	optimal	31	1000	unitig	97288007	131648126	98379310
diverse	optimal	6	1000	kmer	44	2124	56
diverse	optimal	6	1000	uniqrow	35	55	40
diverse	optimal	6	1000	unitig	44	2124	56
diverse	optimal	7	1000	kmer	5127	13319	5524
diverse	optimal	7	1000	uniqrow	3679	4312	3916
diverse	optimal	7	1000	unitig	5127	13319	5524
diverse	optimal	8	1000	kmer	229967	262863	239738
diverse	optimal	8	1000	uniqrow	212306	226855	216012
diverse	optimal	8	1000	unitig	229967	262863	239738
diverse	randomized	10	1000	kmer	139757195	140281995	139940016
diverse	randomized	10	1000	uniqrow	139756431	140280837	139939252
diverse	randomized	10	1000	unitig	139757195	140281995	139940016
diverse	randomized	11	1000	kmer	937097876	939195028	938386078
diverse	randomized	11	1000	uniqrow	937097680	939194807	938385882
diverse	randomized	11	1000	unitig	937097876	939195028	938386078
diverse	randomized	12	1000	kmer	2896713304	2905103960	2901036532
diverse	randomized	12	1000	uniqrow	2896713031	2905103671	2901036258
diverse	randomized	12	1000	unitig	2896713304	2905103960	2901036532
diverse	randomized	13	1000	kmer	5140499668	5174051689	5148490350
diverse	randomized	13	1000	uniqrow	5140466112	5174007185	5148456732
diverse	randomized	13	1000	unitig	5140499664	5174051683	5148490346
diverse	randomized	14	1000	kmer	6718131580	6851049949	6728781100
diverse	randomized	14	1000	uniqrow	6687711980	6813352476	6698303388
diverse	randomized	14	1000	unitig	6718091033	6850997176	6728740502
diverse	randomized	15	1000	kmer	7572257417	8035936876	7584392878
diverse	randomized	15	1000	uniqrow	6746250709	7020050622	6756935556
diverse	randomized	15	1000	unitig	7561451850	8021675489	7573569598
diverse	randomized	17	1000	kmer	8131525162	9943192606	8144653034
diverse	randomized	17	1000	uniqrow	2356482119	2501934426	2360394966
diverse	randomized	17	1000	unitig	6439266187	7673731162	6449806692
diverse	randomized	19	1000	kmer	8227339551	10809867416	8240630540
diverse	randomized	19	1000	uniqrow	468642023	500047570	469380506
diverse	randomized	19	1000	unitig	2481187777	3060468621	2485439770
diverse	randomized	20	1000	kmer	8240555856	10969610410	8253866308
diverse	randomized	20	1000	uniqrow	239697219	254955150	240017172
diverse	randomized	20	1000	unitig	1410086905	1734556130	1412403058
diverse	randomized	22	1000	kmer	8252977349	11102348639	8266303150
diverse	randomized	22	1000	uniqrow	99714294	105292443	99814238
diverse	randomized	22	1000	unitig	546264716	654508931	546922376
diverse	randomized	23	1000	kmer	8256817761	11135571870	8270147490
diverse	randomized	23	1000	uniqrow	85423426	89995416	85502832
diverse	randomized	23	1000	unitig	434166295	512822929	434592792
diverse	randomized	24	1000	kmer	8260166167	11162575011	8273499100
diverse	randomized	24	1000	uniqrow	60169357	63424169	60224020
diverse	randomized	24	1000	unitig	341208862	403268704	341500660
diverse	randomized	25	1000	kmer	8262957086	11184481705	8276292546
diverse	randomized	25	1000	uniqrow	56969341	59990689	57018072
diverse	randomized	25	1000	unitig	310517129	364116822	310750766
diverse	randomized	26	1000	kmer	8265519739	11204560123	8278857466
diverse	randomized	26	1000	uniqrow	52952716	55746286	52996636
diverse	randomized	26	1000	unitig	291557665	341329170	291763018
diverse	randomized	27	1000	kmer	8267870405	11223442109	8281210130
diverse	randomized	27	1000	uniqrow	39506040	41627403	39538108
diverse	randomized	27	1000	unitig	251306784	296241778	251475392
diverse	randomized	28	1000	kmer	8269976540	11240055792	8283318018
diverse	randomized	28	1000	uniqrow	38232175	40264241	38261618
diverse	randomized	28	1000	unitig	238408759	279915865	238558722
diverse	randomized	29	1000	kmer	8271915715	11255798987	8285258742
diverse	randomized	29	1000	uniqrow	36109131	38024320	36136160
diverse	randomized	29	1000	unitig	228610657	268386170	228749406
diverse	randomized	30	1000	kmer	8273758469	11270937845	8287102972
diverse	randomized	30	1000	uniqrow	27895416	29395274	27915564
diverse	randomized	30	1000	unitig	201979023	238690547	202097158
diverse	randomized	31	1000	kmer	8275400058	11284467801	8288745834
diverse	randomized	31	1000	uniqrow	27226317	28677520	27245036
diverse	randomized	31	1000	unitig	193190502	227550621	193297498
diverse	randomized	6	1000	kmer	102	2182	102
diverse	randomized	6	1000	uniqrow	88	108	88
diverse	randomized	6	1000	unitig	102	2182	102
diverse	randomized	7	1000	kmer	7937	16129	7940
diverse	randomized	7	1000	uniqrow	6159	6792	6162
diverse	randomized	7	1000	unitig	7937	16129	7940
diverse	randomized	8	1000	kmer	397489	430385	397834
diverse	randomized	8	1000	uniqrow	375232	389781	375576
diverse	randomized	8	1000	unitig	397489	430385	397834
diverse	upgma-attotree	10	1000	kmer	73743187	74267987	73785622
diverse	upgma-attotree	10	1000	uniqrow	73742501	74266907	73784936
diverse	upgma-attotree	10	1000	unitig	73743187	74267987	73785622
diverse	upgma-attotree	11	1000	kmer	499977692	502074844	500723250
diverse	upgma-attotree	11	1000	uniqrow	499977550	502074677	500723108
diverse	upgma-attotree	11	1000	unitig	499977692	502074844	500723250
diverse	upgma-attotree	12	1000	kmer	1657698118	1666088774	1661268048
diverse	upgma-attotree	12	1000	uniqrow	1657697986	1666088626	1661267916
diverse	upgma-attotree	12	1000	unitig	1657698118	1666088774	1661268048
diverse	upgma-attotree	13	1000	kmer	3167253739	3200805760	3174524048
diverse	upgma-attotree	13	1000	uniqrow	3167227351	3200768424	3174497500
diverse	upgma-attotree	13	1000	unitig	3167253735	3200805754	3174524044
diverse	upgma-attotree	14	1000	kmer	4384491417	4517409786	4394001072
diverse	upgma-attotree	14	1000	uniqrow	4360748424	4486388920	4370156360
diverse	upgma-attotree	14	1000	unitig	4384461224	4517367367	4393970746
diverse	upgma-attotree	15	1000	kmer	5150609756	5614289215	5160992484
diverse	upgma-attotree	15	1000	uniqrow	4521214832	4795014745	4529497416
diverse	upgma-attotree	15	1000	unitig	5142554878	5602778517	5152908816
diverse	upgma-attotree	17	1000	kmer	5775576984	7587244428	5786330110
diverse	upgma-attotree	17	1000	uniqrow	1527866822	1673319129	1529065484
diverse	upgma-attotree	17	1000	unitig	4521352731	5755817706	4528661988
diverse	upgma-attotree	19	1000	kmer	5949177710	8531705575	5959975536
diverse	upgma-attotree	19	1000	uniqrow	277793491	309199038	277883680
diverse	upgma-attotree	19	1000	unitig	1699971410	2279252254	1701464848
diverse	upgma-attotree	20	1000	kmer	5992801034	8721855588	6003607136
diverse	upgma-attotree	20	1000	uniqrow	130409885	145667816	130448292
diverse	upgma-attotree	20	1000	unitig	927188680	1251657905	927772200
diverse	upgma-attotree	22	1000	kmer	6057697103	8907068393	6068514644
diverse	upgma-attotree	22	1000	uniqrow	48058077	53636226	48072212
diverse	upgma-attotree	22	1000	unitig	317328117	425572332	317476990
diverse	upgma-attotree	23	1000	kmer	6084866856	8963620965	6095688874
diverse	upgma-attotree	23	1000	uniqrow	40048603	44620593	40060286
diverse	upgma-attotree	23	1000	unitig	238447442	317104076	238561116
diverse	upgma-attotree	24	1000	kmer	6110793615	9013202459	6121619752
diverse	upgma-attotree	24	1000	uniqrow	27817074	31071886	27824770
diverse	upgma-attotree	24	1000	unitig	184052053	246111895	184145606
diverse	upgma-attotree	25	1000	kmer	6133728692	9055253311	6144558408
diverse	upgma-attotree	25	1000	uniqrow	25985732	29007080	25992386
diverse	upgma-attotree	25	1000	unitig	162946807	216546500	163029650
diverse	upgma-attotree	26	1000	kmer	6155857375	9094897759	6166690400
diverse	upgma-attotree	26	1000	uniqrow	23969445	26763015	23975454
diverse	upgma-attotree	26	1000	unitig	151561126	201332631	151639418
diverse	upgma-attotree	27	1000	kmer	6177288736	9132860440	6188124774
diverse	upgma-attotree	27	1000	uniqrow	17688980	19810343	17693382
diverse	upgma-attotree	27	1000	unitig	131621497	176556491	131693396
diverse	upgma-attotree	28	1000	kmer	6196668050	9166747302	6207506824
diverse	upgma-attotree	28	1000	uniqrow	16979727	19011793	16983732
diverse	upgma-attotree	28	1000	unitig	123272627	164779733	123340068
diverse	upgma-attotree	29	1000	kmer	6215465536	9199348808	6226306840
diverse	upgma-attotree	29	1000	uniqrow	15948259	17863448	15951982
diverse	upgma-attotree	29	1000	unitig	117875938	157651451	117941254
diverse	upgma-attotree	30	1000	kmer	6233787964	9230967340	6244631684
diverse	upgma-attotree	30	1000	uniqrow	12177207	13677065	12180166
diverse	upgma-attotree	30	1000	unitig	105166722	141878246	105228268
diverse	upgma-attotree	31	1000	kmer	6250526235	9259593978	6261372102
diverse	upgma-attotree	31	1000	uniqrow	11812046	13263249	11814814
diverse	upgma-attotree	31	1000	unitig	99585829	133945948	99644512
diverse	upgma-attotree	6	1000	kmer	94	2174	94
diverse	upgma-attotree	6	1000	uniqrow	80	100	80
diverse	upgma-attotree	6	1000	unitig	94	2174	94
diverse	upgma-attotree	7	1000	kmer	6438	14630	6438
diverse	upgma-attotree	7	1000	uniqrow	4722	5355	4722
diverse	upgma-attotree	7	1000	unitig	6438	14630	6438
diverse	upgma-attotree	8	1000	kmer	268769	301665	268770
diverse	upgma-attotree	8	1000	uniqrow	248535	263084	248536
diverse	upgma-attotree	8	1000	unitig	268769	301665	268770
diverse	upgma-hamming	10	1000	kmer	70610739	71135539	70955172
diverse	upgma-hamming	10	1000	uniqrow	70610161	71134567	70954494
diverse	upgma-hamming	10	1000	unitig	70610739	71135539	70955172
diverse	upgma-hamming	11	1000	kmer	480770100	482867252	481834132
diverse	upgma-hamming	11	1000	uniqrow	480769958	482867085	481833990
diverse	upgma-hamming	11	1000	unitig	480770100	482867252	481834132
diverse	upgma-hamming	12	1000	kmer	1652419008	1660809664	1655988938
diverse	upgma-hamming	12	1000	uniqrow	1652418884	1660809524	1655988814
diverse	upgma-hamming	12	1000	unitig	1652419008	1660809664	1655988938
diverse	upgma-hamming	13	1000	kmer	3253837605	3287389626	3262483172
diverse	upgma-hamming	13	1000	uniqrow	3253810997	3287352070	3262456484
diverse	upgma-hamming	13	1000	unitig	3253837601	3287389620	3262483168
diverse	upgma-hamming	14	1000	kmer	4579989781	4712908150	4592028378
diverse	upgma-hamming	14	1000	uniqrow	4557867627	4683508123	4569839376
diverse	upgma-hamming	14	1000	unitig	4579959202	4712865345	4591997724
diverse	upgma-hamming	15	1000	kmer	5404978129	5868657588	5418794654
diverse	upgma-hamming	15	1000	uniqrow	4740233128	5014033041	4752332736
diverse	upgma-hamming	15	1000	unitig	5393056945	5853280584	5406853032
diverse	upgma-hamming	17	1000	kmer	5948698676	7760366120	5963786770
diverse	upgma-hamming	17	1000	uniqrow	1613327728	1758780035	1619080322
diverse	upgma-hamming	17	1000	unitig	4666381181	5900846156	4679266660
diverse	upgma-hamming	19	1000	kmer	6107518708	8690046573	6123089516
diverse	upgma-hamming	19	1000	uniqrow	302519263	333924810	303681928
diverse	upgma-hamming	19	1000	unitig	1778149415	2357430259	1784588378
diverse	upgma-hamming	20	1000	kmer	6145159432	8874213986	6160790272
diverse	upgma-hamming	20	1000	uniqrow	143966271	159224202	144540400
diverse	upgma-hamming	20	1000	unitig	980593306	1305062531	984312556
diverse	upgma-hamming	22	1000	kmer	6206057028	9055428318	6221728616
diverse	upgma-hamming	22	1000	uniqrow	54261058	59839207	54471690
diverse	upgma-hamming	22	1000	unitig	348023570	456267785	349327674
diverse	upgma-hamming	23	1000	kmer	6227742643	9106496752	6243422674
diverse	upgma-hamming	23	1000	uniqrow	44814808	49386798	44977572
diverse	upgma-hamming	23	1000	unitig	263440736	342097370	264514258
diverse	upgma-hamming	24	1000	kmer	6245433242	9147842086	6261119446
diverse	upgma-hamming	24	1000	uniqrow	31356082	34610894	31470944
diverse	upgma-hamming	24	1000	unitig	205859303	267919145	206735938
diverse	upgma-hamming	25	1000	kmer	6264819975	9186344594	6280510850
diverse	upgma-hamming	25	1000	uniqrow	29322220	32343568	29446984
diverse	upgma-hamming	25	1000	unitig	183345521	236945214	184170930
diverse	upgma-hamming	26	1000	kmer	6281383274	9220423658	6297078064
diverse	upgma-hamming	26	1000	uniqrow	27005748	29799318	27122022
diverse	upgma-hamming	26	1000	unitig	171013503	220785008	171797364
diverse	upgma-hamming	27	1000	kmer	6297126534	9252698238	6312824718
diverse	upgma-hamming	27	1000	uniqrow	19872527	21993890	19957966
diverse	upgma-hamming	27	1000	unitig	147362443	192297437	148054864
