dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	upgma-attotree	31	1000	uniqrow	7587006	7927817	7747066
ngono-spneumo	upgma-attotree	31	1000	unitig	9070277	9676048	9311822
ngono-spneumo	upgma-hamming	11	1000	kmer	18620058	20419407	19575674
ngono-spneumo	upgma-hamming	11	1000	uniqrow	13344113	13928646	13622490
ngono-spneumo	upgma-hamming	11	1000	unitig	18497578	20283114	19447038
ngono-spneumo	upgma-hamming	13	1000	kmer	64006113	70895781	67274832
ngono-spneumo	upgma-hamming	13	1000	uniqrow	17422092	18227414	17762122
ngono-spneumo	upgma-hamming	13	1000	unitig	45607109	50290667	47941840
ngono-spneumo	upgma-hamming	15	1000	kmer	81044597	90360991	85009556
ngono-spneumo	upgma-hamming	15	1000	uniqrow	8080948	8465873	8255214
ngono-spneumo	upgma-hamming	15	1000	unitig	18765369	20616644	19606170
ngono-spneumo	upgma-hamming	17	1000	kmer	87066659	97111021	91072304
ngono-spneumo	upgma-hamming	17	1000	uniqrow	6708859	7021849	6859498
ngono-spneumo	upgma-hamming	17	1000	unitig	9807718	10606290	10165010
ngono-spneumo	upgma-hamming	19	1000	kmer	92253670	102775875	96279424
ngono-spneumo	upgma-hamming	19	1000	uniqrow	6695141	7005541	6846230
ngono-spneumo	upgma-hamming	19	1000	unitig	8745527	9401045	9033448
ngono-spneumo	upgma-hamming	21	1000	kmer	96913791	107878033	100994820
ngono-spneumo	upgma-hamming	21	1000	uniqrow	6761059	7072916	6912634
ngono-spneumo	upgma-hamming	21	1000	unitig	8586812	9213419	8856388
ngono-spneumo	upgma-hamming	23	1000	kmer	100932090	112325936	105027220
ngono-spneumo	upgma-hamming	23	1000	uniqrow	7016924	7338720	7171742
ngono-spneumo	upgma-hamming	23	1000	unitig	8753089	9375285	9015942
ngono-spneumo	upgma-hamming	25	1000	kmer	104603327	116421821	108703480
ngono-spneumo	upgma-hamming	25	1000	uniqrow	7161288	7488576	7317450
ngono-spneumo	upgma-hamming	25	1000	unitig	8788709	9404131	9043988
ngono-spneumo	upgma-hamming	27	1000	kmer	108989169	121229005	113093832
ngono-spneumo	upgma-hamming	27	1000	uniqrow	7216674	7545354	7373012
ngono-spneumo	upgma-hamming	27	1000	unitig	8784296	9391888	9034078
ngono-spneumo	upgma-hamming	29	1000	kmer	113129501	125787049	117238336
ngono-spneumo	upgma-hamming	29	1000	uniqrow	7418250	7755581	7577014
ngono-spneumo	upgma-hamming	29	1000	unitig	8975316	9585370	9222318
ngono-spneumo	upgma-hamming	31	1000	kmer	116936652	130009543	121049346
ngono-spneumo	upgma-hamming	31	1000	uniqrow	7522944	7863755	7681716
ngono-spneumo	upgma-hamming	31	1000	unitig	9000557	9606328	9241152
ngono-spneumo	worst	11	1000	kmer	954384144	956183493	955332530
ngono-spneumo	worst	11	1000	uniqrow	278779614	279364147	279054576
ngono-spneumo	worst	11	1000	unitig	948309718	950095254	949252006
ngono-spneumo	worst	13	1000	kmer	3312978987	3319868655	3316197230
ngono-spneumo	worst	13	1000	uniqrow	342833784	343639106	343160630
ngono-spneumo	worst	13	1000	unitig	2341863345	2346546903	2344142682
ngono-spneumo	worst	15	1000	kmer	3981136795	3990453189	3984987366
ngono-spneumo	worst	15	1000	uniqrow	176745382	177130307	176906026
ngono-spneumo	worst	15	1000	unitig	845878257	847729532	846698870
ngono-spneumo	worst	17	1000	kmer	4069545328	4079589690	4073480514
ngono-spneumo	worst	17	1000	uniqrow	153155799	153468789	153289524
ngono-spneumo	worst	17	1000	unitig	359662555	360461127	360004060
ngono-spneumo	worst	19	1000	kmer	4089776147	4100298352	4093731022
ngono-spneumo	worst	19	1000	uniqrow	152783277	153093677	152915012
ngono-spneumo	worst	19	1000	unitig	291444167	292099685	291715766
ngono-spneumo	worst	21	1000	kmer	4099550897	4110515139	4103515554
ngono-spneumo	worst	21	1000	uniqrow	153261936	153573793	153393118
ngono-spneumo	worst	21	1000	unitig	272988346	273614953	273240596
ngono-spneumo	worst	23	1000	kmer	4105901179	4117295025	4109872094
ngono-spneumo	worst	23	1000	uniqrow	156817646	157139442	156951230
ngono-spneumo	worst	23	1000	unitig	266514173	267136369	266758878
ngono-spneumo	worst	25	1000	kmer	4111083647	4122902141	4115059690
ngono-spneumo	worst	25	1000	uniqrow	158177124	158504412	158311144
ngono-spneumo	worst	25	1000	unitig	258896971	259512393	259133280
ngono-spneumo	worst	27	1000	kmer	4115714621	4127954457	4119695258
ngono-spneumo	worst	27	1000	uniqrow	158233717	158562397	158367092
ngono-spneumo	worst	27	1000	unitig	252056274	252663866	252285156
ngono-spneumo	worst	29	1000	kmer	4119974864	4132632412	4123959726
ngono-spneumo	worst	29	1000	uniqrow	160760911	161098242	160895838
ngono-spneumo	worst	29	1000	unitig	249369133	249979187	249594436
ngono-spneumo	worst	31	1000	kmer	4123890985	4136963876	4127879712
ngono-spneumo	worst	31	1000	uniqrow	161487851	161828662	161622796
ngono-spneumo	worst	31	1000	unitig	243980385	244586156	244199734
ngono	nj-attotree	11	1000	kmer	5906494	7007910	5910078
ngono	nj-attotree	11	1000	uniqrow	2179986	2258717	2180882
ngono	nj-attotree	11	1000	unitig	5173105	6187890	5176254
ngono	nj-attotree	13	1000	kmer	18672712	21205516	18682062
ngono	nj-attotree	13	1000	uniqrow	3055770	3151568	3056784
ngono	nj-attotree	13	1000	unitig	8652966	9868749	8656682
ngono	nj-attotree	15	1000	kmer	24752378	27821075	24763554
ngono	nj-attotree	15	1000	uniqrow	2852508	2935377	2853482
ngono	nj-attotree	15	1000	unitig	4750342	5186037	4751978
ngono	nj-attotree	17	1000	kmer	27489132	30746130	27500872
ngono	nj-attotree	17	1000	uniqrow	2900699	2983273	2901696
ngono	nj-attotree	17	1000	unitig	3634526	3854545	3635792
ngono	nj-attotree	19	1000	kmer	29669666	33062159	29681824
ngono	nj-attotree	19	1000	uniqrow	2992709	3077589	2993770
ngono	nj-attotree	19	1000	unitig	3558929	3748032	3560210
ngono	nj-attotree	21	1000	kmer	31735402	35252819	31747968
ngono	nj-attotree	21	1000	uniqrow	3062895	3149781	3063978
ngono	nj-attotree	21	1000	unitig	3592876	3774174	3594182
ngono	nj-attotree	23	1000	kmer	33724693	37362829	33737638
ngono	nj-attotree	23	1000	uniqrow	3156660	3246179	3157768
ngono	nj-attotree	23	1000	unitig	3673082	3852282	3674422
ngono	nj-attotree	25	1000	kmer	35672422	39430173	35685740
ngono	nj-attotree	25	1000	uniqrow	3247079	3338998	3248208
ngono	nj-attotree	25	1000	unitig	3760048	3938666	3761414
ngono	nj-attotree	27	1000	kmer	37587770	41465064	37601456
ngono	nj-attotree	27	1000	uniqrow	3315816	3409688	3316974
ngono	nj-attotree	27	1000	unitig	3828632	4007315	3830034
ngono	nj-attotree	29	1000	kmer	39474630	43471537	39488686
ngono	nj-attotree	29	1000	uniqrow	3397651	3493951	3398836
ngono	nj-attotree	29	1000	unitig	3911303	4090949	3912730
ngono	nj-attotree	31	1000	kmer	41342493	45459556	41356926
ngono	nj-attotree	31	1000	uniqrow	3485558	3584347	3486790
ngono	nj-attotree	31	1000	unitig	3996346	4176888	3997822
ngono	nj-hamming	11	1000	kmer	5847406	6948822	5851346
ngono	nj-hamming	11	1000	uniqrow	2173136	2251867	2174648
